OU_NAME,TOTAL_AMOUNT_USD,Season Split Year Grouping,Season Split Sort,Fiscal Year
DAKINE EQUIPMENT LLC. (OU),80.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),72.50,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),72.50,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),140.66,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),145.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),40.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),40.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),40.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),40.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),23.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),38.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),19.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),25.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),30.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),35.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),20.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),20.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),34.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),55.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),27.50,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),27.50,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),55.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),55.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),55.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),25.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),15.50,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),33.75,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),20.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),20.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),16.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),16.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),17.50,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),35.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),128.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),32.40,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),32.40,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),36.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),14.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),14.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),60.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),10.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),10.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),30.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),60.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),30.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),30.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),30.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),60.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),30.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),30.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),262.50,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),"1,050.00",2020,001,2021
DAKINE EQUIPMENT LLC. (OU),262.50,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),262.50,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),262.50,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),10.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),20.00,2020,001,2021
